,id,path,Mask,Age,Gender,Class
0,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,Wear,>= 30 and < 60,Female,4
1,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,Wear,>= 30 and < 60,Female,4
2,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,Wear,>= 30 and < 60,Female,4
3,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,Wear,>= 30 and < 60,Female,4
4,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,Wear,>= 30 and < 60,Female,4
5,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,Not Wear,>= 30 and < 60,Female,16
6,000001,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,Incorrect,>= 30 and < 60,Female,10
7,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,Wear,>= 30 and < 60,Female,4
8,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,Wear,>= 30 and < 60,Female,4
9,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,Wear,>= 30 and < 60,Female,4
10,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,Wear,>= 30 and < 60,Female,4
11,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,Wear,>= 30 and < 60,Female,4
12,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,Not Wear,>= 30 and < 60,Female,16
13,000002,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,Incorrect,>= 30 and < 60,Female,10
14,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,Wear,>= 30 and < 60,Male,1
15,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,Wear,>= 30 and < 60,Male,1
16,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,Wear,>= 30 and < 60,Male,1
17,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,Wear,>= 30 and < 60,Male,1
18,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,Wear,>= 30 and < 60,Male,1
19,000004,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,Not Wear,>= 30 and < 60,Male,13
